"

Simbawells
"

The Hungry Hippo Ltd

","-0.82676","36.27644"
"

Mayhavest Food Court

","-0.284985","36.06931"
"

Coral Rock Cafe


(Diani Beach)

","-4.290022","39.586784"
"

Tamambo Karen Blixen

","-1.345554","36.71375"
"

Artcaffe

","-1.257208","36.802998"
"

Taj Super Foods

","-0.103108","34.756145"
"

Sundowner Lodge

","-0.30209","36.07201"
"

Turtle Bay

","",""
"

The Courtyard Cafe


(Nanyuki Town)

","0.016667","37.0667"
"

Kilifi Boatyard

","-3.63333","39.85"
"

Oriental Restaurant

","-0.1037","34.75277"
"

La Belle Inn

","-0.722283","36.44155"
"

Greenland Cafe

","-1.109484","36.64147"
"

Mangrove Centre

","",""
"

Msafini Hotel Roof Top Restaurant

","",""
"

Bar Bar

","-3.206681","40.116547"
"

KB Karen Blixen

","-3.209083","40.11757"
"

Pole Pole Bar Restaurant

","",""
"

Victoria Terrace

","-0.103108","34.756145"
"

Swahili Pot


(Diani Beach)

","-4.290022","39.586784"
"

The Club House Cafe

","",""
"

papa Remo

","-3.3466","40.032288"
"

Sundowner


(Diani Beach)

","-4.290022","39.586784"
"

Fischers Tower Restaurant

","-0.706166","36.426926"
"

Java House

","-0.706166","36.426926"
"

Gabby's Cake House, Ice Cream and Deli

","",""
"

Guava restaurant

","-0.312735","36.14033"
"

Mayungu Flamingo Restaurant

","-3.27638","40.124355"
"

Java House

","-1.2929","36.79042"
"

Japanese Izakaya Cheka

","-1.260615","36.775356"
"

Shan e Punjab

","-4.344027","39.55554"
"

64 Resort And Sporting Club

","0.491609","35.285103"
"

Ranch House Bistro

","",""
"

Haandi Restaurant

","-1.264102","36.80289"
"

Radio Maria Bar & Restaurant

","-3.367975","39.99743"
"

Beer Garden

","-3.353011","40.02019"
"

Ushago Sports Bar And Food Court


(Diani Beach)

","-4.290022","39.586784"
"

Seafront Cafe

","-2.269928","40.903236"
"

The Pot Restaurant & Bar

","-0.714703","36.433407"
"

The Carnivore Restaurant

","-1.328627","36.801815"
"

Casuarina Nomad Bar and Restaurant

","",""
"

The Edge Beach Restaurant


(Diani Beach)

","-4.308544","39.580875"
"

Albizia Club

","",""
"

La Terrazza

","-3.23053","40.12573"
"

Nomad Restaurant


(Diani Beach)

","-4.326911","39.57284"
"

Bahari Gates

","",""
"

Leonardo's Restaurant


(Diani Beach)

","-4.287786","39.58703"
"

TamuTamu Dishes

","",""
"

Coast Dishes


(Diani Beach)

","-4.290022","39.586784"
"

Barefoot Beach Camp and Restaurant

","",""
"

360 Degrees Artisan Pizza

","-1.259579","36.77653"
"

Carol's Cafe


(Nanyuki Town)

","0.013893","37.077534"
"

Eataly

","-4.0322","39.71206"
"

The House Restaurant- Cafeterian, Pizzeria

","",""
"

Village Market

","-1.23505","36.80421"
"

Usher's Gate Naivasha

","-0.715679","36.44365"
"

Bahati Gelateria Italianna Anna & Andrea

","-3.355748","40.02081"
"

Yul's Restaurant

","",""
"

Majlis Restaurant Lamu

","-2.27833","40.9033"
"

Applegreen Restaurant

","",""
"

Muna Tree Cafe

","",""
"

Tin Roof Cafe

","-1.30181","36.68978"
"

Fun Fan

","",""
"

Driftwood Beach Club

","-3.227675","40.12672"
"

The Eatery


(Nanyuki Town)

","0.00755","37.07434"
"

Icafe

","-0.10064","34.7586"
"

Fogo Gaucho

","-1.264136","36.800797"
"

Morani's Restaurant


(Nanyuki Town)

","",""
"

Lo Spuntino

","-3.351648","40.019222"
"

Tamarind Restaurant

","-1.345206","36.71442"
"

Blue Marlin Beach Restaurant


(Diani Beach)

","-4.290022","39.586784"
"

Carnellys restaurant

","-0.82676","36.27644"
"

Legends Restaurant

","",""
"

Baobab Restaurant

","-3.21885","40.12564"
"

Malindi Bella Vita

","-3.227675","40.12672"
"

Sportsman's Arms Restaurant


(Nanyuki Town)

","0.014226","37.08283"
"

Neelam Cuisine

","",""
"

Kokeb Restaurant

","-0.285794","36.069534"
"

Roberto's - Italian Restaurant

","-4.048899","39.685604"
"

Rozina Nyali

","-4.048671","39.68544"
"

Signature Pub & Restaurant

","-0.289899","36.066532"
"

The Moorings

","-3.951704","39.740055"
"

Marula Mercantile

","-1.336694","36.713963"
"

Sails Beach Bar & Restaurant


(Diani Beach)

","-4.352576","39.56321"
"

Peponi Hotel Restaurant

","-2.29232","40.91334"
"

Ocean Basket

","-1.258644","36.805588"
"

Green Garden Restaurant

","-0.103108","34.756145"
"

Lymington's Bistro


(Diani Beach)

","-4.345769","39.563183"
"

Safari Inn Bar & Restaurant

","-3.970439","39.75125"
"

Cafe Mocha

","-4.049341","39.685696"
"

Il Covo Restaurant

","-3.981955","39.73922"
"

Surahi Restaurant

","",""
"

Planet Yogurt

","-4.05749","39.68578"
"

Chui Grill Leopard Beach hotel


(Diani Beach)

","-4.290022","39.586784"
"

La Rosada

","-3.23777","40.12516"
"

Bosnian Cafe

","",""
"

Sea Haven

","-3.979485","39.74704"
"

Willy's Blue tent seafood restaurant


(Diani Beach)

","",""
"

Mida Dhow

","-3.35","40.0167"
"

The Well Irish Pub & Restaurant

","0.516678","35.27432"
"

Misono

","-4.0322","39.71206"
"

Lake Town Pizza Restaurant

","-0.717582","36.433407"
"

Fisherman's Camp

","-0.825615","36.334763"
"

Havana Bar


(Diani Beach)

","-4.308072","39.577377"
"

White Elephant

","-3.246893","40.126186"
"

African Oasis


(Diani Beach)

","-4.290022","39.586784"
"

Mapango Restaurant

","-3.35","40.0167"
"

Bollywood Bites

","-4.048529","39.685696"
"

Flames Deli and Grill

","-4.019831","39.7208"
"

Osteria

","-3.227675","40.12672"
"

Bootleggers Pub&Grill

","",""
"

Malindi Sea Fishing Club

","-3.21885","40.12564"
"

Club Lambada International

","-3.42842","39.89672"
"

Habesha

","-1.292104","36.7799"
"

Cake House Gabby's Ice Cream and Deli Cafe

","-0.714436","36.430546"
"

Brew Bistro & Lounge

","-1.299348","36.765533"
"

Tamarind Mombasa

","-4.049358","39.68144"
"

45 Degrees Kitchen

","-1.226301","36.86309"
"

Hashmi`s Restaurant

","-1.2762","36.7965"
"

Nairobi Java House

","-4.05749","39.68578"
"

The Coffee Shack


(Nanyuki Town)

","",""
"

Spoco Loco

","",""
"

Safina Beach Bar & Grill

","-3.315366","40.085583"
"

Kokkos Cafe Bistro


(Diani Beach)

","-4.307599","39.578102"
"

Jahazi Coffee House

","-4.059944","39.678444"
"

Scorpio Villas

","-3.217208","40.12476"
"

Pyroblue

","",""
"

Hosteria Romana Watamu

","-3.356012","40.020943"
"

Maridadi Restaurant and Bar

","-3.924106","39.78227"
"

Dianas at Diani


(Diani Beach)

","-4.309783","39.57666"
"

Big Bite Sweet and Restaurant

","-0.103108","34.756145"
"

Blue Room Restaurant

","-4.059909","39.671463"
"

The Laughing Buddha Lounge & Cafe

","-0.105904","34.75291"
"

Mtwapa Palms

","",""
"

La Veranda Restaurant

","-4.022459","39.71982"
"

Whispers Coffeeshop

","",""
"

Cafesserie Mombasa

","-3.991555","39.73313"
"

New Farmers Hotel Restaurant

","-0.103108","34.756145"
"

IRIS Restaurant

","-3.204735","40.10753"
